=======================================================================================
STELLAR OBJECT TYPES DATA FILE
=======================================================================================

Maximum Stellar Object Types Allowed = 1000

Allowable Values for Physical Type: 
  None, Planet, Asteroids, Storm, Star, Warp Point, Destroyed Star, Comet

Allowable Values for Planet Size:
  Asteroids, Tiny, Small, Medium, Large, Huge

Allowable Values for Planet Physical Type:
  Rock, Ice, Gas Giant

Allowable Values for Planet Atmosphere:
  None, Methane, Oxygen, Hydrogen, Carbon Dioxide

NOTE: The following combinations of plant physical type and atmosphere are 
not allowed: Gas Giant x None.

Allowable Values for all other sizes:
  Tiny, Small, Medium, Large, Huge

Allowable Values for Star Age:
  Young, Average, Old, Ancient

Allowable Values for Star Color:
  Yellow, Red, Purple, Green, Blue, White, Orange

Allowable Values for Star Luminosity:
  Dim, Average, Bright

None           - Gray
Portrait Filename          := planet_ven_0015_huge.bmp
Large Portrait Filename    := planet_ven_0015_huge_lp.jpg
Description                := 
Planet Size                := Huge
Planet Physical Type       := Rock
Planet Atmosphere          := Hydrogen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Hydrogen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Hydrogen_Colonized.bmp

Stellar Object Name        := Planet Ven 0020 Huge
Physical Type              := Planet
XFile Class Name           := Planet Ven 0020 Huge
Maximum Model Size         := 16.0
Hex Size                   := 1
Picture Index              := 591
Portrait Filename          := planet_ven_0020_huge.bmp
Large Portrait Filename    := planet_ven_0020_huge_lp.jpg
Description                := 
Planet Size                := Huge
Planet Physical Type       := Rock
Planet Atmosphere          := Hydrogen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Hydrogen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Hydrogen_Colonized.bmp

Stellar Object Name        := Planet Ven 0016 Huge
Physical Type              := Planet
XFile Class Name           := Planet Ven 0016 Huge
Maximum Model Size         := 16.0
Hex Size                   := 1
Picture Index              := 571
Portrait Filename          := planet_ven_0016_huge.bmp
Large Portrait Filename    := planet_ven_0016_huge_lp.jpg
Description                := 
Planet Size                := Huge
Planet Physical Type       := Rock
Planet Atmosphere          := Hydrogen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Hydrogen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Hydrogen_Colonized.bmp

Stellar Object Name        := Planet Ven 0017 Huge
Physical Type              := Planet
XFile Class Name           := Planet Ven 0017 Huge
Maximum Model Size         := 16.0
Hex Size                   := 1
Picture Index              := 576
Portrait Filename          := planet_ven_0017_huge.bmp
Large Portrait Filename    := planet_ven_0017_huge_lp.jpg
Description                := 
Planet Size                := Huge
Planet Physical Type       := Rock
Planet Atmosphere          := Hydrogen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Hydrogen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Hydrogen_Colonized.bmp

Stellar Object Name        := Planet Terr 0002 Huge
Physical Type              := Planet
XFile Class Name           := Planet Terr 0002 Huge
Maximum Model Size         := 16.0
Hex Size                   := 1
Picture Index              := 381
Portrait Filename          := planet_terr_0002_huge.bmp
Large Portrait Filename    := planet_terr_0002_huge_lp.jpg
Description                := 
Planet Size                := Huge
Planet Physical Type       := Rock
Planet Atmosphere          := Carbon Dioxide
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Carbon_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Carbon_Colonized.bmp

Stellar Object Name        := Planet Ven 0007 Huge
Physical Type              := Planet
XFile Class Name           := Planet Ven 0007 Huge
Maximum Model Size         := 16.0
Hex Size                   := 1
Picture Index              := 526
Portrait Filename          := planet_ven_0007_huge.bmp
Large Portrait Filename    := planet_ven_0007_huge_lp.jpg
Description                := 
Planet Size                := Huge
Planet Physical Type       := Rock
Planet Atmosphere          := Carbon Dioxide
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Carbon_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Carbon_Colonized.bmp

Stellar Object Name        := Planet Ven 0011 Huge
Physical Type              := Planet
XFile Class Name           := Planet Ven 0011 Huge
Maximum Model Size         := 16.0
Hex Size                   := 1
Picture Index              := 546
Portrait Filename          := planet_ven_0011_huge.bmp
Large Portrait Filename    := planet_ven_0011_huge_lp.jpg
Description                := 
Planet Size                := Huge
Planet Physical Type       := Rock
Planet Atmosphere          := Carbon Dioxide
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Carbon_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Carbon_Colonized.bmp

Stellar Object Name        := Planet Ven 0019 Huge
Physical Type              := Planet
XFile Class Name           := Planet Ven 0019 Huge
Maximum Model Size         := 16.0
Hex Size                   := 1
Picture Index              := 586
Portrait Filename          := planet_ven_0019_huge.bmp
Large Portrait Filename    := planet_ven_0019_huge_lp.jpg
Description                := 
Planet Size                := Huge
Planet Physical Type       := Rock
Planet Atmosphere          := Carbon Dioxide
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Carbon_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Carbon_Colonized.bmp

Stellar Object Name        := Planet Ven 0021 Huge
Physical Type              := Planet
XFile Class Name           := Planet Ven 0021 Huge
Maximum Model Size         := 16.0
Hex Size                   := 1
Picture Index              := 596
Portrait Filename          := planet_ven_0021_huge.bmp
Large Portrait Filename    := planet_ven_0021_huge_lp.jpg
Description                := 
Planet Size                := Huge
Planet Physical Type       := Rock
Planet Atmosphere          := Carbon Dioxide
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Carbon_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Carbon_Colonized.bmp

Stellar Object Name        := Planet Ven 0027 Huge
Physical Type              := Planet
XFile Class Name           := Planet Ven 0027 Huge
Maximum Model Size         := 16.0
Hex Size                   := 1
Picture Index              := 626
Portrait Filename          := planet_ven_0027_huge.bmp
Large Portrait Filename    := planet_ven_0027_huge_lp.jpg
Description                := 
Planet Size                := Huge
Planet Physical Type       := Rock
Planet Atmosphere          := Carbon Dioxide
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Carbon_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Carbon_Colonized.bmp

Stellar Object Name        := Planet Ven 0028 Huge
Physical Type              := Planet
XFile Class Name           := Planet Ven 0028 Huge
Maximum Model Size         := 16.0
Hex Size                   := 1
Picture Index              := 631
Portrait Filename          := planet_ven_0028_huge.bmp
Large Portrait Filename    := planet_ven_0028_huge_lp.jpg
Description                := 
Planet Size                := Huge
Planet Physical Type       := Rock
Planet Atmosphere          := Carbon Dioxide
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Carbon_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Carbon_Colonized.bmp

//-------------------------------------------------------------------------------------------
// Stars
//-------------------------------------------------------------------------------------------
Stellar Object Name        := Star Yellow Small
Physical Type              := Star
XFile Class Name           := Star Yellow Small
Maximum Model Size         := 32.0
Hex Size                   := 2
Blocked Hex Radius         := 2
Picture Index              := 687
Portrait Filename          := star_yellow_small.bmp
Large Portrait Filename    := star_yellow_small_lp.jpg
Description                := A very ordinary yellow star.
Star Size                  := Small
Star Age                   := Average
Star Color                 := Yellow
Star Luminosity            := Average

Stellar Object Name        := Star Yellow Medium
Physical Type              := Star
XFile Class Name           := Star Yellow Medium
Maximum Model Size         := 36.0
Hex Size                   := 2
Blocked Hex Radius         := 2
Picture Index              := 686
Portrait Filename          := star_yellow_medium.bmp
Large Portrait Filename    := star_yellow_medium_lp.jpg
Description                := A small and dim yellow star.
Star Size                  := Medium
Star Age                   := Average
Star Color                 := Yellow
Star Luminosity            := Dim

Stellar Object Name        := Star Yellow Large
Physical Type              := Star
XFile Class Name           := Star Yellow Large
Maximum Model Size         := 40.0
Hex Size                   := 2
Blocked Hex Radius         := 2
Picture Index              := 685
Portrait Filename          := star_yellow_large.bmp
Large Portrait Filename    := star_yellow_large_lp.jpg
Description                := Large yellow star of moderate age.
Star Size                  := Large
Star Age                   := Average
Star Color                 := Yellow
Star Luminosity            := Bright

Stellar Object Name        := Star White Small
Physical Type              := Star
XFile Class Name           := Star White Small
Maximum Model Size         := 32.0
Hex Size                   := 2
Blocked Hex Radius         := 2
Picture Index              := 684
Portrait Filename          := star_white_small.bmp
Large Portrait Filename    := star_white_small_lp.jpg
Description                := An unusually bright white star.
Star Size                  := Small
Star Age                   := Average
Star Color                 := White
Star Luminosity            := Bright

Stellar Object Name        := Star White Medium
Physical Type              := Star
XFile Class Name           := Star White Medium
Maximum Model Size         := 36.0
Hex Size                   := 2
Blocked Hex Radius         := 2
Picture Index              := 683
Portrait Filename          := star_white_medium.bmp
